service_code,group_a,group_b,name_legacy,price_legacy
0312,3,3,MANICURE DLA PANOW,
0211,4,4,K18 SPRZEDAZ,
0212,4,4,SPRZEDAZ RRLINE,
0334,3,3,NAPRAWA PAZNOKCIA,
0500,1,2,MYCIE SZAM. OCZYSZCZAJACYM,
0501,1,2,MYCIE FORM ME UP,
0502,1,2,MYCIE HOMECARE,
0503,1,2,MYCIE KROK1 PROREPAIR,
0504,3,3,USLUGA Z KARNETU 10 ZABIEGOW,
0505,3,3,KONSULTACJA LIFTING/ENDERMOLOG,
0506,3,3,SPRZEDAZ KARNETU 5,
0507,3,3,SPRZEDAZ KARNETU 10,
0508,3,3,SPRZEDAZ WODA,
0338,3,3,ZDOBIENIE RÊCZNE MALOWANE,
0337,3,3,ZDOBIENIE CYRKONIE / PY£EK,
0336,3,3,ZDOBIENIE FRENCH / OMBRE,
0335,3,3,REKONSTRUKCJA PAZNOKCIA,
0339,3,3,USUNIÊCIE ¯ELU/AKRYLU BEZ D US,
0085,1,1,DOPLATA AIRTOUCH,"210,00"
0086,1,1,DOPLATA WLOSY BARDZO DLUGIE,"20,00"
0213,4,4,SPRZEDAZ DIANA,
0510,1,1,MASKA FORM ME UP,
0511,1,1,MASKA HOMECARE,
0512,1,1,AMPULKA GOLDEN,
0513,1,1,BOOSTER SHINIQUE,
0514,1,1,MASKA SHINIGUE,
0515,1,1,KURACJA AMINOKWASOWA,
0516,1,1,INTALIFT ZABIEG BANKIETOWY,
0517,1,1,BOTOX FORM ME UP,
0518,1,1,BOTOX DIAMOND,
0519,1,1,BOTOX PEARL,
0520,1,1,PRO REPAIR COMPLEX,
0521,1,1,NAKLADANIE AMPULKI,
0522,1,1,NAKLADANIE MASKI,
0550,1,1,PUSH UP,
0551,1,1,TRWALA WL. KROTKIE,
0552,1,1,TRWALA WL.SREDNIE,
0553,1,1,TRWALA WL .DLUGIE,
0554,1,1,TRWALA WL. BARDZO DLUGIE,
0555,1,1,NAKRECANIE TRWALEJ,
0556,1,1,ZABEZPIECZENIE WL. BLOND,
0557,1,1,PRZYGOTOWANIE DO TRWALEJ,
0558,1,1,DOPLATA WLOSY GRUBE,
0559,1,1,TRWALA SPIRALNA,
0560,1,1,TRWALA TWIST,
0561,1,2,SUSZENIE NA DYFUZOR,
0562,1,2,CZESANIE NA SZCZOTKE WL KROTKI,
0563,1,2,CZESANIE NA SZCZOTKE WL.SREDNI,
0564,1,2,CZESANIE NA SZCZOTKE WL. DLUGI,
0565,1,2,STYLIZACJA DIANA,
