service_code,name,service_type_code,service_type_label,grouping_code,grouping_label,family_code,family_label,vat_code,vat_label,duration_minutes,price,price_holiday,legacy_services_price_raw
0094,ZDJECIE PASMA 1,1,PANI,2,COIFFURE,14,PRZEDLUZANIE WLOSOW,1,°AVAT,0,5.0,5.0,"5,00"
0095,PRZEDLUZANIE WLOSOW,1,PANI,2,COIFFURE,14,PRZEDLUZANIE WLOSOW,1,°AVAT,0,1500.0,1500.0,"500,00"
0096,WLOSY,1,PANI,2,COIFFURE,14,PRZEDLUZANIE WLOSOW,1,°AVAT,0,800.0,800.0,"38,00"
0097,ZDJECIE WLOSOW,1,PANI,2,COIFFURE,14,PRZEDLUZANIE WLOSOW,1,°AVAT,0,650.0,650.0,"350,00"
0098,ZAGESZCZANIE,1,PANI,2,COIFFURE,14,PRZEDLUZANIE WLOSOW,1,°AVAT,0,800.0,800.0,"300,00"
0099,KLEJ ZAGESZCZ WLOS,1,PANI,2,COIFFURE,14,PRZEDLUZANIE WLOSOW,1,°AVAT,0,50.0,50.0,
0100,KLEJ PRZEDL. WLOS,1,PANI,2,COIFFURE,14,PRZEDLUZANIE WLOSOW,1,°AVAT,0,100.0,100.0,
0101,MYCIE LP,2,PAN,2,COIFFURE,00,MYCIE,1,°AVAT,0,18.0,18.0,"11,50"
0102,MYCIE LECZNICZE,2,PAN,2,COIFFURE,00,MYCIE,1,°AVAT,0,18.0,18.0,"11,50"
0103,MYCIE TECHNICZNE,2,PAN,2,COIFFURE,00,MYCIE,1,°AVAT,0,18.0,18.0,"11,50"
0104,MYCIE SPECJALNE,2,PAN,2,COIFFURE,00,MYCIE,1,°AVAT,0,18.0,18.0,"42,00"
0105,MYCIE JOICO,2,PAN,2,COIFFURE,00,MYCIE,1,°AVAT,0,18.0,18.0,"7,00"
0106,MYCIE BE COLOR,2,PAN,2,COIFFURE,00,MYCIE,1,°AVAT,0,18.0,18.0,"34,00"
0107,PRZYCIECIE WASOW,2,PAN,2,COIFFURE,02,COUPE,1,°AVAT,0,25.0,25.0,"5,00"
0108,PRZYCIECIE BRODA,2,PAN,2,COIFFURE,02,COUPE,1,°AVAT,0,35.0,35.0,"10,00"
0109,CIECIE MASZYNKA,2,PAN,2,COIFFURE,02,COUPE,1,°AVAT,0,59.0,59.0,"30,00"
0110,CIECIE CALOSCIOWE,2,PAN,2,COIFFURE,02,COUPE,1,°AVAT,0,65.0,65.0,"42,50"
0111,CIECIE BRODA FANTAZYJNIE,2,PAN,2,COIFFURE,02,COUPE,1,°AVAT,0,60.0,60.0,"15,00"
0112,KONCENTRAT OLEO-FUSION,2,PAN,1,TECHNIQUE,09,AMPULKI,1,°AVAT,0,118.0,118.0,"62,00"
0113,KONCENTRAT DESIFIQUE,2,PAN,1,TECHNIQUE,09,AMPULKI,1,°AVAT,0,118.0,118.0,"62,00"
0114,KONCENTRAT VITA-CEMENT,2,PAN,1,TECHNIQUE,09,AMPULKI,1,°AVAT,0,118.0,118.0,"62,00"
0115,AMPULKA AMINEXIL,2,PAN,1,TECHNIQUE,09,AMPULKI,1,°AVAT,0,59.0,59.0,"62,00"
0116,KONCENTRAT CHROMA/BLOND UV,2,PAN,1,TECHNIQUE,09,AMPULKI,1,°AVAT,0,118.0,118.0,"62,00"
0117,AMPULKA BE HAIR REB.LOTION,2,PAN,1,TECHNIQUE,0000,,O,,60,0.0,0.0,"42,00"
0118,MASKA LOREAL,2,PAN,1,TECHNIQUE,01,PIELEGNACJA,1,°AVAT,0,64.0,64.0,"68,00"
0119,NAKLADANIE MASKA,2,PAN,1,TECHNIQUE,01,PIELEGNACJA,1,°AVAT,0,15.0,15.0,"5,00"
0120,MASKA KERASTASE,2,PAN,1,TECHNIQUE,01,PIELEGNACJA,1,°AVAT,0,64.0,64.0,"50,00"
0121,MASKA OLAPLEX,2,PAN,1,TECHNIQUE,01,PIELEGNACJA,1,°AVAT,0,60.0,60.0,"50,00"
0122,ODZYWKA LUCIANO PIERANTONI,2,PAN,1,TECHNIQUE,01,PIELEGNACJA,1,°AVAT,0,3.0,3.0,"3,00"
0123,BOSTER RECONSTRUCTION,2,PAN,1,TECHNIQUE,09,AMPULKI,1,°AVAT,0,11.0,11.0,"44,00"
0124,BOSTER NUTRITION,2,PAN,1,TECHNIQUE,09,AMPULKI,1,°AVAT,0,11.0,11.0,"62,00"
0125,BOSTER BRILANCE,2,PAN,1,TECHNIQUE,09,AMPULKI,1,°AVAT,0,11.0,11.0,"42,00"
0126,BOSTER CICAFIBRE,2,PAN,1,TECHNIQUE,09,AMPULKI,1,°AVAT,0,11.0,11.0,"68,00"
0127,BOSTER DISCIPLINE,2,PAN,1,TECHNIQUE,09,AMPULKI,1,°AVAT,0,11.0,11.0,"62,00"
0128,DIAMENT,2,PAN,1,TECHNIQUE,01,PIELEGNACJA,1,°AVAT,0,134.0,134.0,
0129,NAKLADANIE AMPULKI,2,PAN,1,TECHNIQUE,09,AMPULKI,1,°AVAT,0,20.0,20.0,"7,00"
0130,K WATER,2,PAN,1,TECHNIQUE,0000,,O,,60,0.0,0.0,"1,00"
0131,COVER5 BRODA,2,PAN,1,TECHNIQUE,06,KOLORYZACJA,1,°AVAT,0,25.0,25.0,"15,00"
0132,MASKA JOICO,2,PAN,1,TECHNIQUE,01,PIELEGNACJA,1,°AVAT,0,64.0,64.0,"15,00"
0133,KONCENTRAT CURL MANIFESTO,2,PAN,1,TECHNIQUE,09,AMPULKI,1,°AVAT,0,118.0,118.0,"15,00"
0135,CIECIE CHLOPIEC  DO 6 LAT,2,PAN,2,COIFFURE,02,COUPE,1,°AVAT,0,55.0,55.0,"15,00"
0136,CIECIE CHLOPIEC DO 18 LAT,2,PAN,2,COIFFURE,02,COUPE,1,°AVAT,0,55.0,55.0,"15,00"
0137,CIECIE STUDENT,2,PAN,2,COIFFURE,02,COUPE,1,°AVAT,0,62.0,62.0,"15,00"
0138,K18-MASKA,2,PAN,1,TECHNIQUE,01,PIELEGNACJA,1,°AVAT,0,42.5,42.5,"15,00"
0139,K18-MGIELKA,2,PAN,1,TECHNIQUE,01,PIELEGNACJA,1,°AVAT,0,42.5,42.5,"15,00"
0140,MASKA BE COLOR,2,PAN,1,TECHNIQUE,01,PIELEGNACJA,1,°AVAT,0,37.0,37.0,"13,00"
0141,SZCZOTKA WL KROTKIE,2,PAN,2,COIFFURE,03,CZESANIE,1,°AVAT,0,30.0,30.0,
0142,SZCZOTKA WL SREDNIE,2,PAN,2,COIFFURE,03,CZESANIE,1,°AVAT,0,30.0,30.0,"23,50"
0143,SZCZOTKA WL DLUGIE,2,PAN,2,COIFFURE,03,CZESANIE,1,°AVAT,0,30.0,30.0,"23,50"
0145,STYLIZACJA SYLWESTROWA,2,PAN,2,COIFFURE,12,STYLIZACJA,1,°AVAT,60,10.0,10.0,"20,00"
0147,SUSZENIE,2,PAN,2,COIFFURE,03,CZESANIE,1,°AVAT,0,10.0,10.0,"5,00"
